Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
6259,10,623,10,1998,1996,1,700,740480,536,18,0.77165,4944232.278,1,2,3,
6260,22,1099,5,1999,1996,5,455,532110,553,14,0.67349,4893635.786,0,6,3,151
6261,22,1027,17,1996,1993,1,382,635240,252,18,0.51236,4968169,6,1,2,99
6262,8,782,5,1998,1996,2,705,358975,553,2,0.5,5698095.5,0,2,3,265
6263,11,803,15,1991,1989,1,345,0,51,9,0.19754,4519565.444,0,0,1,
6264,27,869,16,1999,1997,4,370,211480,553,4,0,5632436.25,1,1,3,167
6265,9,855,20,2000,1997,1,704,570160,60,4,0.5,5748758.75,4,2,2,59
6266,4,903,14,1999,1996,1,703,280070,538,8,0.59376,5461962.875,0,0,2,225
6267,53,900,3,1995,1992,1,455,0,142,4,0.5,4998882.5,0,0,1,
6268,7,1394,12,2000,1996,1,345,711886,261,3,0,5652522,1,0,2,
6269,24,574,17,1994,1992,5,704,402865,553,5,0,4689500.2,0,0,3,
6270,26,928,20,1999,1997,1,345,250060,86,16,0.64845,5610453.813,0,0,2,112
6271,23,1323,30,1997,1993,3,718,80495,537,11,0.31406,5041217.545,1,0,3,
6272,28,725,61,1997,1995,4,710,503060,553,12,0.68058,5015262.583,1,10,3,
6273,17,596,9,1983,1982,1,711,221500,103,4,0.375,3896450.75,0,0,2,1
6274,5,1077,18,1994,1991,2,700,701807,536,5,0.64,4586146.6,0,2,3,
6275,2,684,4,1995,1993,2,706,480860,553,5,0.56,5061559,5,1,3,
6276,15,907,15,1999,1996,1,704,278220,238,7,0.61227,5353526.143,4,0,2,41
6277,53,1288,28,1996,1992,6,715,280070,251,9,0.71607,5226937.444,2,0,2,344
6278,9,917,29,1999,1997,7,235,252865,553,11,0.54548,4904772.818,1,2,3,330
6279,10,456,14,1991,1990,3,250,597270,260,1,0,4577414,2,0,6,
6280,9,1106,22,1999,1996,1,712,8075,16,23,0.30625,5163476.522,10,13,2,12
6281,19,809,22,1998,1996,1,713,0,202,5,0.32,5400367.4,0,0,1,
6282,24,677,16,1995,1993,3,718,280070,261,15,0.88895,5048084.133,3,0,2,301
6283,2,398,6,1994,1993,1,358,581270,553,3,0,4924304.667,1,0,3,173
6284,14,797,10,1981,1979,2,712,596125,142,15,0.52445,3860614.467,0,0,2,54
6285,24,1141,8,1992,1989,1,345,788148,39,11,0.31406,4436863.364,1,0,2,112
6286,16,882,17,2000,1997,3,711,8075,16,6,0.44445,5311271,1,0,2,12
6287,3,1965,9,1993,1988,1,700,864032,553,10,0.66,4615968.2,0,1,3,
6288,45,1239,56,1996,1993,3,712,597260,142,17,0.78201,4792375.529,1,0,6,
6289,19,763,44,1998,1996,3,703,367195,238,6,0.50002,5460743.833,3,0,2,2
6290,10,494,19,1996,1994,1,370,650955,243,5,0,5217757.6,0,0,2,196
6291,23,824,12,1994,1992,3,382,358975,553,3,0,4945700.667,1,1,3,242
6292,54,949,12,1999,1996,1,705,0,110,20,0.885,5262275.35,1,1,1,
6293,13,568,33,1991,1989,4,708,789656,572,4,0.375,4402702.25,0,1,2,310
6294,12,896,8,1985,1982,1,714,0,168,4,0,3991179.25,1,0,1,
6295,29,1062,30,1998,1995,3,725,252865,553,5,0.72,5388396.6,1,7,3,331
6296,18,775,12,1989,1987,1,345,280070,168,13,0.57992,4453170.077,1,0,2,403
6297,29,1126,23,1998,1995,1,711,570160,60,13,0.57992,5318211.538,21,0,2,56
6298,70,1385,24,1994,1991,7,710,280070,168,8,0.40626,5007565.5,1,0,2,373
6299,16,663,5,1995,1993,1,235,864032,553,7,0.24491,4892748,0,2,3,
6300,106,540,32,1993,1992,1,380,676549,168,15,0.83559,4537478.267,1,2,2,2
6301,7,1070,28,1999,1996,3,711,252865,553,6,0.72224,5155232.167,1,4,3,331
6302,55,986,20,1999,1997,2,379,512710,168,16,0.41408,5537173.125,0,0,2,379
6303,11,460,2,1996,1995,3,382,280070,168,7,0.24491,5113770,1,3,2,219
6304,66,2162,24,1992,1986,1,710,357270,32,1,0,4598400,2,0,2,
6305,3,1103,43,2000,1997,5,714,706518,168,8,0.56252,5395783.875,1,0,2,130
6306,5,847,2,1996,1994,20,712,394010,546,3,0.66667,5262060.333,9,0,2,22
6307,3,1140,21,2000,1997,1,345,6885,261,1,0,5594853,7,0,2,2
6308,5,1380,25,1996,1993,1,710,105280,198,13,0.66276,4837373.231,1,0,2,1
6309,10,1054,16,1999,1996,2,711,386735,16,7,0.449,5295839.286,2,0,2,142
6310,17,1245,17,1998,1995,3,600,540885,261,4,0.625,4665190.5,0,0,2,
6311,34,1049,13,1999,1996,4,709,361691,60,6,0.44445,5508366.333,1,0,2,50
6312,45,1261,31,1992,1988,4,704,635240,261,10,0.48,4720947.7,6,6,2,99
6313,14,414,4,1997,1996,4,386,864032,553,10,0.7,5439007,2,3,3,111
6314,56,845,10,1996,1993,5,707,280070,168,5,0.56,5199958.6,11,0,2,301
6315,31,1162,31,1999,1995,1,710,864032,553,9,0,5358382.444,1,5,3,110
6316,11,1702,13,2000,1995,2,709,0,305,10,0.72,5583925.4,5,0,1,
6317,8,1260,20,1999,1996,2,704,373780,268,8,0.40626,5230467.5,5,0,2,17
6318,4,579,8,1989,1987,1,358,485895,526,1,0,4476497,0,4,3,
6319,257,634,22,1999,1997,3,235,370615,232,4,0.75,5591589.25,0,0,2,0
6320,2,711,3,1999,1997,4,714,280070,16,12,0.84726,5253102.167,1,0,2,240
6321,3,1041,10,2000,1997,1,358,211480,553,3,0.66667,4785846.667,1,5,3,167
6322,10,712,44,1999,1997,4,380,211480,553,8,0.21876,5344460.25,0,3,3,167
6323,23,907,16,1997,1995,3,358,711114,142,6,0.77781,4988831.833,0,0,2,
6324,2,399,1,1997,1996,3,712,280070,168,16,0.57034,5041745.438,1,0,2,225
6325,14,806,12,1988,1986,1,345,280070,168,3,0.44445,4473523,0,0,2,405
6326,5,559,14,1998,1996,1,341,386735,47,7,0,5144256.714,0,0,2,142
6327,6,846,9,1993,1991,4,377,541085,538,5,0.56,4359564.6,1,0,2,17
6328,183,1513,50,1998,1994,1,463,0,302,18,0.69139,4848461.889,0,1,1,
6329,63,803,12,1998,1996,3,715,635240,261,20,0.495,5469112.6,3,1,2,85
6330,34,1153,4,1996,1993,2,710,706518,289,10,0.84,4857157.1,7,0,2,312
6331,65,1105,13,1984,1981,3,700,38875,60,8,0.81252,4116355.5,0,0,2,
6332,28,852,13,1997,1995,4,714,361691,60,9,0.79015,5235409.778,3,0,2,40
6333,2,750,15,1999,1997,1,342,759434,154,4,0.625,5078154.75,0,0,2,
6334,43,1051,17,1987,1984,1,345,0,32,15,0.34668,4343088.733,0,0,1,
6335,11,769,20,1995,1992,3,710,134145,60,8,0.68752,4757325.375,0,0,2,0
6336,20,951,18,1998,1995,4,712,280070,26,114,0.6783,4879685.947,64,12,2,219
6337,85,235,34,1994,1993,2,379,706518,168,8,0.375,4810429.375,0,0,2,312
6338,6,1064,8,1997,1994,2,536,599425,142,1,0,5229500,18,3,2,
6339,14,1538,3,1987,1983,3,711,80495,233,9,0.37039,4108419.556,0,0,2,
6340,4,404,27,1998,1997,2,707,280070,294,23,0.78262,5252137.957,0,0,2,240
6341,39,882,10,1998,1995,2,700,635240,252,17,0.609,5351281.471,0,0,2,87
6342,47,810,14,1993,1991,3,341,706518,168,8,0.21876,4677828.25,2,0,2,273
6343,31,531,28,1995,1993,3,702,711114,142,22,0.8389,4962521.864,12,2,2,
6344,27,1002,9,1989,1987,3,715,280070,43,8,0.75002,4517177.75,4,0,2,403
6345,10,1033,19,2000,1997,3,358,335920,137,23,0.37808,5428209.826,0,0,2,6
6346,10,876,12,1993,1991,2,713,386735,16,4,0.375,4683849.25,0,0,2,105
